LAT,LON,T2M_MIN,DATE
-40,143.75,15.03,2006-01-22
-40,144.375,15.5,2006-01-22
-40,145,16.11,2006-01-22
-40,145.625,16.35,2006-01-22
-39.5,143.125,15.33,2006-01-22
-39.5,143.75,15.53,2006-01-22
-39.5,144.375,15.79,2006-01-22
-39.5,145,16.18,2006-01-22
-39.5,145.625,16.48,2006-01-22
-39,143.125,15.57,2006-01-22
-39,143.75,15.44,2006-01-22
-39,144.375,15.97,2006-01-22
-39,145,16.21,2006-01-22
-39,145.625,16.44,2006-01-22
-38.5,143.125,14.79,2006-01-22
-38.5,143.75,15.42,2006-01-22
-38.5,144.375,16.05,2006-01-22
-38.5,145,16.28,2006-01-22
-38.5,145.625,16.44,2006-01-22
-38,143.125,14.93,2006-01-22
-38,143.75,15.55,2006-01-22
-38,144.375,16.39,2006-01-22
-38,145,16.8,2006-01-22
-38,145.625,16.76,2006-01-22
-40,143.125,14.04,2006-01-23
-40,143.75,14.12,2006-01-23
-40,144.375,14.38,2006-01-23
-40,145,14.71,2006-01-23
-40,145.625,14.78,2006-01-23
-39.5,143.125,14.5,2006-01-23
-39.5,143.75,14.64,2006-01-23
-39.5,144.375,14.87,2006-01-23
-39.5,145,15.05,2006-01-23
-39.5,145.625,15.15,2006-01-23
-39,143.125,14.83,2006-01-23
-39,143.75,14.85,2006-01-23
-39,144.375,15.14,2006-01-23
-39,145,15.5,2006-01-23
-39,145.625,15.77,2006-01-23
-38.5,143.125,14.41,2006-01-23
-38.5,143.75,14.55,2006-01-23
-38.5,144.375,15.55,2006-01-23
-38.5,145,16.17,2006-01-23
-38.5,145.625,14.6,2006-01-23
-38,143.125,13.96,2006-01-23
-38,143.75,13.69,2006-01-23
-38,144.375,14.73,2006-01-23
-38,145,15.37,2006-01-23
-38,145.625,12.71,2006-01-23
-40,143.125,14.1,2006-01-24
-40,143.75,14.57,2006-01-24
-40,144.375,14.86,2006-01-24
-40,145,15.01,2006-01-24
-40,145.625,14.96,2006-01-24
-39.5,143.125,14.5,2006-01-24
-39.5,143.75,15.02,2006-01-24
-39.5,144.375,15.04,2006-01-24
-39.5,145,15.11,2006-01-24
-39.5,145.625,15.18,2006-01-24
-39,143.125,14.85,2006-01-24
-39,143.75,15.11,2006-01-24
-39,144.375,15.16,2006-01-24
-39,145,15.43,2006-01-24
-39,145.625,15.62,2006-01-24
-38.5,143.125,10.85,2006-01-24
-38.5,143.75,12.59,2006-01-24
-38.5,144.375,14.79,2006-01-24
-38.5,145,15.11,2006-01-24
-38.5,145.625,12.38,2006-01-24
-38,143.125,9.2,2006-01-24
-38,143.75,9.89,2006-01-24
-38,144.375,11.73,2006-01-24
-38,145,12.17,2006-01-24
-38,145.625,10.38,2006-01-24
-40,143.125,16.5,2006-01-25
-40,143.75,16.92,2006-01-25
-40,144.375,17,2006-01-25
-40,145,17.11,2006-01-25
-40,145.625,17.12,2006-01-25
-39.5,143.125,16.76,2006-01-25
-39.5,143.75,17.5,2006-01-25
-39.5,144.375,17.6,2006-01-25
-39.5,145,17.48,2006-01-25
-39.5,145.625,17.55,2006-01-25
-39,143.125,17.41,2006-01-25
-39,143.75,17.49,2006-01-25
-39,144.375,17.62,2006-01-25
-39,145,18.39,2006-01-25
-39,145.625,18.41,2006-01-25
-38.5,143.125,16.15,2006-01-25
-38.5,143.75,17.38,2006-01-25
-38.5,144.375,18.04,2006-01-25
-38.5,145,19.43,2006-01-25
-38.5,145.625,17.14,2006-01-25
-38,143.125,16.78,2006-01-25
-38,143.75,17.7,2006-01-25
-38,144.375,19.17,2006-01-25
-38,145,18.9,2006-01-25
-38,145.625,17.99,2006-01-25
-40,143.125,16.86,2006-01-26
-40,143.75,17.68,2006-01-26
-40,144.375,18.22,2006-01-26
-40,145,17.89,2006-01-26
-40,145.625,18.05,2006-01-26
-39.5,143.125,17.62,2006-01-26
-39.5,143.75,18.43,2006-01-26
-39.5,144.375,18.53,2006-01-26
-39.5,145,18.53,2006-01-26
-39.5,145.625,18.73,2006-01-26
-39,143.125,18.39,2006-01-26
-39,143.75,19.22,2006-01-26
-39,144.375,19.15,2006-01-26
-39,145,19.61,2006-01-26
-39,145.625,20.68,2006-01-26
-38.5,143.125,19.06,2006-01-26
-38.5,143.75,21.65,2006-01-26
-38.5,144.375,20.43,2006-01-26
-38.5,145,21.11,2006-01-26
-38.5,145.625,21.98,2006-01-26
-38,143.125,21.73,2006-01-26
-38,143.75,23.66,2006-01-26
-38,144.375,24.02,2006-01-26
-38,145,22.93,2006-01-26
-38,145.625,21.93,2006-01-26
-40,143.125,15.37,2006-01-27
-40,143.75,15.74,2006-01-27
-40,144.375,16.12,2006-01-27
-40,145,16.4,2006-01-27
-40,145.625,16.89,2006-01-27
-39.5,143.125,15.93,2006-01-27
-39.5,143.75,16.49,2006-01-27
-39.5,144.375,16.85,2006-01-27
-39.5,145,16.72,2006-01-27
-39.5,145.625,16.97,2006-01-27
-39,143.125,16.4,2006-01-27
-39,143.75,17.01,2006-01-27
-39,144.375,17.03,2006-01-27
-39,145,17.02,2006-01-27
-39,145.625,17.15,2006-01-27
-38.5,143.125,16.04,2006-01-27
-38.5,143.75,17.17,2006-01-27
-38.5,144.375,18.05,2006-01-27
-38.5,145,17.54,2006-01-27
-38.5,145.625,17.32,2006-01-27
-38,143.125,16.81,2006-01-27
-38,143.75,17.59,2006-01-27
-38,144.375,17.74,2006-01-27
-38,145,17.85,2006-01-27
-38,145.625,18.01,2006-01-27
-40,143.125,16.06,2006-01-28
-40,143.75,16.82,2006-01-28
-40,144.375,15.86,2006-01-28
-40,145,14.97,2006-01-28
-40,145.625,15.47,2006-01-28
-39.5,143.125,16.82,2006-01-28
-39.5,143.75,17.1,2006-01-28
-39.5,144.375,15.92,2006-01-28
-39.5,145,15.54,2006-01-28
-39.5,145.625,16.47,2006-01-28
-39,143.125,17.74,2006-01-28
-39,143.75,18.02,2006-01-28
-39,144.375,16.41,2006-01-28
-39,145,16.49,2006-01-28
-39,145.625,17.74,2006-01-28
-38.5,143.125,18.85,2006-01-28
-38.5,143.75,18.21,2006-01-28
-38.5,144.375,17.9,2006-01-28
-38.5,145,18.35,2006-01-28
-38.5,145.625,19.6,2006-01-28
-38,143.125,20.99,2006-01-28
-38,143.75,19.84,2006-01-28
-38,144.375,18.89,2006-01-28
-38,145,18.91,2006-01-28
-38,145.625,20.61,2006-01-28
-40,143.125,14.67,2006-01-29
-40,143.75,15.02,2006-01-29
-40,144.375,15.44,2006-01-29
-40,145,15.85,2006-01-29
-40,145.625,16.08,2006-01-29
-39.5,143.125,15.38,2006-01-29
-39.5,143.75,15.72,2006-01-29
-39.5,144.375,16.1,2006-01-29
-39.5,145,16.22,2006-01-29
-39.5,145.625,16.32,2006-01-29
-39,143.125,15.87,2006-01-29
-39,143.75,15.82,2006-01-29
-39,144.375,16.57,2006-01-29
-39,145,16.55,2006-01-29
-39,145.625,16.64,2006-01-29
-38.5,143.125,14.29,2006-01-29
-38.5,143.75,14.88,2006-01-29
-38.5,144.375,16.46,2006-01-29
-38.5,145,16.72,2006-01-29
-38.5,145.625,16.47,2006-01-29
-38,143.125,14.22,2006-01-29
-38,143.75,14.66,2006-01-29
-38,144.375,16.15,2006-01-29
-38,145,17.06,2006-01-29
-38,145.625,16.15,2006-01-29
-40,143.125,15.1,2006-01-30
-40,143.75,14.78,2006-01-30
-40,144.375,15.19,2006-01-30
-40,145,15.82,2006-01-30
-40,145.625,16.08,2006-01-30
-39.5,143.125,15.43,2006-01-30
-39.5,143.75,15.36,2006-01-30
-39.5,144.375,15.9,2006-01-30
-39.5,145,16.09,2006-01-30
-39.5,145.625,16.36,2006-01-30
-39,143.125,15.94,2006-01-30
-39,143.75,15.41,2006-01-30
