DATE,SST,LON,LAT
2006-02-06,17.79,145.375,-39.625
2006-02-06,17.80857143,145.625,-39.625
2006-02-06,17.88285714,143.125,-39.375
2006-02-06,18.07571429,143.375,-39.375
2006-02-06,18.20428571,143.625,-39.375
2006-02-06,18.30285714,143.875,-39.375
2006-02-06,18.29714286,144.125,-39.375
2006-02-06,18.26428571,144.375,-39.375
2006-02-06,18.2,144.625,-39.375
2006-02-06,18.11857143,144.875,-39.375
2006-02-06,18.05,145.125,-39.375
2006-02-06,18.02142857,145.375,-39.375
2006-02-06,18.15,145.625,-39.375
2006-02-06,18.15428571,143.125,-39.125
2006-02-06,18.26428571,143.375,-39.125
2006-02-06,18.33714286,143.625,-39.125
2006-02-06,18.43571429,143.875,-39.125
2006-02-06,18.50428571,144.125,-39.125
2006-02-06,18.49714286,144.375,-39.125
2006-02-06,18.44,144.625,-39.125
2006-02-06,18.36142857,144.875,-39.125
2006-02-06,18.34142857,145.125,-39.125
2006-02-06,18.40428571,145.375,-39.125
2006-02-06,18.54714286,145.625,-39.125
2006-02-06,18.32428571,143.125,-38.875
2006-02-06,18.36571429,143.375,-38.875
2006-02-06,18.46571429,143.625,-38.875
2006-02-06,18.62,143.875,-38.875
2006-02-06,18.72428571,144.125,-38.875
2006-02-06,18.74142857,144.375,-38.875
2006-02-06,18.68428571,144.625,-38.875
2006-02-06,18.64,144.875,-38.875
2006-02-06,18.65571429,145.125,-38.875
2006-02-06,18.80857143,145.375,-38.875
2006-02-06,18.97285714,145.625,-38.875
2006-02-06,18.34571429,143.125,-38.625
2006-02-06,18.78428571,143.875,-38.625
2006-02-06,18.89285714,144.125,-38.625
2006-02-06,18.96285714,144.375,-38.625
2006-02-06,18.95857143,144.625,-38.625
2006-02-06,18.95857143,144.875,-38.625
2006-02-06,18.95142857,145.125,-38.625
2006-02-06,19.09285714,145.375,-38.625
2006-02-06,19.23857143,145.625,-38.625
2006-02-06,19.14142857,144.375,-38.375
2006-02-06,19.16571429,144.625,-38.375
2006-02-06,19.25857143,144.875,-38.375
2006-02-06,19.57714286,144.875,-38.125
2006-02-06,19.74428571,145.125,-38.125
2006-02-06,19.69428571,144.875,-37.875
2006-02-13,16.73142857,143.125,-39.875
2006-02-13,16.77142857,143.375,-39.875
2006-02-13,16.79857143,143.625,-39.875
2006-02-13,17.04571429,144.375,-39.875
2006-02-13,17.37285714,144.625,-39.875
2006-02-13,17.66285714,144.875,-39.875
2006-02-13,17.77428571,145.125,-39.875
2006-02-13,17.71714286,145.375,-39.875
2006-02-13,17.60142857,145.625,-39.875
2006-02-13,17.15285714,143.125,-39.625
2006-02-13,17.21285714,143.375,-39.625
2006-02-13,17.25,143.625,-39.625
2006-02-13,17.41142857,144.375,-39.625
2006-02-13,17.63714286,144.625,-39.625
2006-02-13,17.81,144.875,-39.625
2006-02-13,17.91714286,145.125,-39.625
2006-02-13,17.92428571,145.375,-39.625
2006-02-13,17.86285714,145.625,-39.625
2006-02-13,17.55428571,143.125,-39.375
2006-02-13,17.62714286,143.375,-39.375
2006-02-13,17.63571429,143.625,-39.375
2006-02-13,17.63,143.875,-39.375
2006-02-13,17.66428571,144.125,-39.375
2006-02-13,17.78857143,144.375,-39.375
2006-02-13,17.91714286,144.625,-39.375
2006-02-13,18.04142857,144.875,-39.375
2006-02-13,18.11571429,145.125,-39.375
2006-02-13,18.16428571,145.375,-39.375
2006-02-13,18.21,145.625,-39.375
2006-02-13,17.88,143.125,-39.125
2006-02-13,17.97571429,143.375,-39.125
2006-02-13,18.01428571,143.625,-39.125
2006-02-13,18.05285714,143.875,-39.125
2006-02-13,18.01571429,144.125,-39.125
2006-02-13,18.06285714,144.375,-39.125
2006-02-13,18.13857143,144.625,-39.125
2006-02-13,18.25428571,144.875,-39.125
2006-02-13,18.34571429,145.125,-39.125
2006-02-13,18.44857143,145.375,-39.125
2006-02-13,18.52428571,145.625,-39.125
2006-02-13,18.17285714,143.125,-38.875
2006-02-13,18.22714286,143.375,-38.875
2006-02-13,18.28,143.625,-38.875
2006-02-13,18.41571429,143.875,-38.875
2006-02-13,18.37714286,144.125,-38.875
2006-02-13,18.39428571,144.375,-38.875
2006-02-13,18.44,144.625,-38.875
2006-02-13,18.54285714,144.875,-38.875
2006-02-13,18.64857143,145.125,-38.875
2006-02-13,18.82857143,145.375,-38.875
2006-02-13,18.92714286,145.625,-38.875
2006-02-13,18.33285714,143.125,-38.625
2006-02-13,18.71428571,143.875,-38.625
2006-02-13,18.70285714,144.125,-38.625
2006-02-13,18.79714286,144.375,-38.625
2006-02-13,18.85857143,144.625,-38.625
2006-02-13,18.93571429,144.875,-38.625
2006-02-13,18.92571429,145.125,-38.625
2006-02-13,19.07857143,145.375,-38.625
2006-02-13,19.17142857,145.625,-38.625
2006-02-13,19.10571429,144.375,-38.375
2006-02-13,19.19285714,144.625,-38.375
2006-02-13,19.39714286,144.875,-38.375
2006-02-13,19.95142857,144.875,-38.125
2006-02-13,20.11,145.125,-38.125
2006-02-13,20.09857143,144.875,-37.875
2006-02-20,17.63857143,143.125,-39.875
2006-02-20,17.89714286,143.375,-39.875
2006-02-20,18.08285714,143.625,-39.875
2006-02-20,17.78571429,144.375,-39.875
2006-02-20,17.83428571,144.625,-39.875
2006-02-20,17.95285714,144.875,-39.875
2006-02-20,18.06571429,145.125,-39.875
2006-02-20,18.11714286,145.375,-39.875
2006-02-20,18.12,145.625,-39.875
2006-02-20,17.80857143,143.125,-39.625
2006-02-20,18.08714286,143.375,-39.625
2006-02-20,18.25571429,143.625,-39.625
2006-02-20,18.09285714,144.375,-39.625
2006-02-20,18.09142857,144.625,-39.625
2006-02-20,18.15857143,144.875,-39.625
2006-02-20,18.24285714,145.125,-39.625
2006-02-20,18.31857143,145.375,-39.625
2006-02-20,18.37857143,145.625,-39.625
2006-02-20,18.05,143.125,-39.375
2006-02-20,18.30714286,143.375,-39.375
2006-02-20,18.48,143.625,-39.375
2006-02-20,18.52857143,143.875,-39.375
2006-02-20,18.48714286,144.125,-39.375
2006-02-20,18.39857143,144.375,-39.375
2006-02-20,18.39,144.625,-39.375
2006-02-20,18.43857143,144.875,-39.375
2006-02-20,18.54142857,145.125,-39.375
2006-02-20,18.65285714,145.375,-39.375
2006-02-20,18.76428571,145.625,-39.375
2006-02-20,18.32857143,143.125,-39.125
2006-02-20,18.55142857,143.375,-39.125
2006-02-20,18.67,143.625,-39.125
2006-02-20,18.74142857,143.875,-39.125
2006-02-20,18.73,144.125,-39.125
2006-02-20,18.66857143,144.375,-39.125
2006-02-20,18.68142857,144.625,-39.125
2006-02-20,18.74857143,144.875,-39.125
2006-02-20,18.86142857,145.125,-39.125
2006-02-20,19.01714286,145.375,-39.125
2006-02-20,19.14714286,145.625,-39.125
2006-02-20,18.56571429,143.125,-38.875
2006-02-20,18.72857143,143.375,-38.875
2006-02-20,18.82,143.625,-38.875
2006-02-20,18.89285714,143.875,-38.875
2006-02-20,18.90428571,144.125,-38.875
2006-02-20,18.9,144.375,-38.875
2006-02-20,18.95714286,144.625,-38.875
2006-02-20,19.05857143,144.875,-38.875
2006-02-20,19.17714286,145.125,-38.875
2006-02-20,19.37428571,145.375,-38.875
2006-02-20,19.49,145.625,-38.875
2006-02-20,18.63142857,143.125,-38.625
2006-02-20,18.96428571,143.875,-38.625
2006-02-20,18.98285714,144.125,-38.625
2006-02-20,19.1,144.375,-38.625
2006-02-20,19.21714286,144.625,-38.625
2006-02-20,19.36428571,144.875,-38.625
2006-02-20,19.37857143,145.125,-38.625
2006-02-20,19.53285714,145.375,-38.625
2006-02-20,19.59857143,145.625,-38.625
2006-02-20,19.26571429,144.375,-38.375
2006-02-20,19.41428571,144.625,-38.375
2006-02-20,19.71428571,144.875,-38.375
2006-02-20,20.23142857,144.875,-38.125
2006-02-20,20.4,145.125,-38.125
2006-02-20,20.33,144.875,-37.875
2006-02-27,18.50428571,143.125,-39.875
2006-02-27,18.71285714,143.375,-39.875
2006-02-27,18.74285714,143.625,-39.875
2006-02-27,18.22714286,144.375,-39.875
2006-02-27,18.29428571,144.625,-39.875
2006-02-27,18.48857143,144.875,-39.875
2006-02-27,18.68,145.125,-39.875
2006-02-27,18.77857143,145.375,-39.875
2006-02-27,18.76714286,145.625,-39.875
2006-02-27,18.64285714,143.125,-39.625
2006-02-27,18.83714286,143.375,-39.625
2006-02-27,18.92142857,143.625,-39.625
2006-02-27,18.7,144.375,-39.625
